Region ID,Gyrus,Description,Region Alias,Region Label
60,Precentral Gyrus,PrG_R_6_4,"A4t, area 4(trunk region)",PrG_R_6_4
61,Precentral Gyrus,PrG_L_6_5,"A4tl, area 4(tongue and larynx region)",PrG_L_6_5
62,Precentral Gyrus,PrG_R_6_5,"A4tl, area 4(tongue and larynx region)",PrG_R_6_5
63,Precentral Gyrus,PrG_L_6_6,"A6cvl, caudal ventrolateral area 6",PrG_L_6_6
64,Precentral Gyrus,PrG_R_6_6,"A6cvl, caudal ventrolateral area 6",PrG_R_6_6
65,Paracentral Lobule,PCL_L_2_1,"A1/2/3ll, area1/2/3 (lower limb region)",PCL_L_2_1
66,Paracentral Lobule,PCL_R_2_1,"A1/2/3ll, area1/2/3 (lower limb region)",PCL_R_2_1
67,Paracentral Lobule,PCL_L_2_2,"A4ll, area 4, (lower limb region)",PCL_L_2_2
68,Paracentral Lobule,PCL_R_2_2,"A4ll, area 4, (lower limb region)",PCL_R_2_2
69,Superior Temporal Gyrus,STG_L_6_1,"A38m, medial area 38",STG_L_6_1
70,Superior Temporal Gyrus,STG_R_6_1,"A38m, medial area 38",STG_R_6_1
71,Superior Temporal Gyrus,STG_L_6_2,"A41/42, area 41/42",STG_L_6_2
72,Superior Temporal Gyrus,STG_R_6_2,"A41/42, area 41/42",STG_R_6_2
73,Superior Temporal Gyrus,STG_L_6_3,TE1.0 and TE1.2,STG_L_6_3
74,Superior Temporal Gyrus,STG_R_6_3,TE1.0 and TE1.2,STG_R_6_3
75,Superior Temporal Gyrus,STG_L_6_4,"A22c, caudal area 22",STG_L_6_4
76,Superior Temporal Gyrus,STG_R_6_4,"A22c, caudal area 22",STG_R_6_4
77,Superior Temporal Gyrus,STG_L_6_5,"A38l, lateral area 38",STG_L_6_5
78,Superior Temporal Gyrus,STG_R_6_5,"A38l, lateral area 38",STG_R_6_5
79,Superior Temporal Gyrus,STG_L_6_6,"A22r, rostral area 22",STG_L_6_6
80,Superior Temporal Gyrus,STG_R_6_6,"A22r, rostral area 22",STG_R_6_6
81,Middle Temporal Gyrus,MTG_L_4_1,"A21c, caudal area 21",MTG_L_4_1
82,Middle Temporal Gyrus,MTG_R_4_1,"A21c, caudal area 21",MTG_R_4_1
83,Middle Temporal Gyrus,MTG_L_4_2,"A21r, rostral area 21",MTG_L_4_2
84,Middle Temporal Gyrus,MTG_R_4_2,"A21r, rostral area 21",MTG_R_4_2
85,Middle Temporal Gyrus,MTG_L_4_3,"A37dl, dorsolateral area37",MTG_L_4_3
86,Middle Temporal Gyrus,MTG_R_4_3,"A37dl, dorsolateral area37",MTG_R_4_3
87,Middle Temporal Gyrus,MTG_L_4_4,"aSTS, anterior superior temporal sulcus",MTG_L_4_4
88,Middle Temporal Gyrus,MTG_R_4_4,"aSTS, anterior superior temporal sulcus",MTG_R_4_4
89,Inferior Temporal Gyrus,ITG_L_7_1,"A20iv, intermediate ventral area 20",ITG_L_7_1
90,Inferior Temporal Gyrus,ITG_R_7_1,"A20iv, intermediate ventral area 20",ITG_R_7_1
91,Inferior Temporal Gyrus,ITG_L_7_2,"A37vm, ventromedial area37",ITG_L_7_2
92,Inferior Temporal Gyrus,ITG_R_7_2,"A37vm, ventromedial area37",ITG_R_7_2
93,Inferior Temporal Gyrus,ITG_L_7_3,"A20r, rostral area 20",ITG_L_7_3
94,Inferior Temporal Gyrus,ITG_R_7_3,"A20r, rostral area 20",ITG_R_7_3
95,Inferior Temporal Gyrus,ITG_L_7_4,"A20il, intermediate lateral area 20",ITG_L_7_4
96,Inferior Temporal Gyrus,ITG_R_7_4,"A20il, intermediate lateral area 20",ITG_R_7_4
97,Inferior Temporal Gyrus,ITG_L_7_5,"A37vl, ventrolateral area 37",ITG_L_7_5
98,Inferior Temporal Gyrus,ITG_R_7_5,"A37vl, ventrolateral area 37",ITG_R_7_5
99,Inferior Temporal Gyrus,ITG_L_7_6,"A20cl, caudolateral of area 20",ITG_L_7_6
100,Inferior Temporal Gyrus,ITG_R_7_6,"A20cl, caudolateral of area 20",ITG_R_7_6
101,Inferior Temporal Gyrus,ITG_L_7_7,"A20cv, caudoventral of area 20",ITG_L_7_7
102,Inferior Temporal Gyrus,ITG_R_7_7,"A20cv, caudoventral of area 20",ITG_R_7_7
103,Inferior Temporal Gyrus,FuG_L_3_1,"A20rv, rostroventral area 20",FuG_L_3_1
104,Inferior Temporal Gyrus,FuG_R_3_1,"A20rv, rostroventral area 20",FuG_R_3_1
105,Inferior Temporal Gyrus,FuG_L_3_2,"A37vm, medioventral area37",FuG_L_3_2
106,Inferior Temporal Gyrus,FuG_R_3_2,"A37vm, medioventral area37",FuG_R_3_2
107,Inferior Temporal Gyrus,FuG_L_3_3,"A37vl, ventrolatral area37",FuG_L_3_3
108,Inferior Temporal Gyrus,FuG_R_3_3,"A37vl, ventrolatral area37",FuG_R_3_3
109,Middle Temporal Gyrus,PhG_L_6_1,"A35/36r, rostral area 35/36",PhG_L_6_1
110,Middle Temporal Gyrus,PhG_R_6_1,"A35/36r, rostral area 35/36",PhG_R_6_1
111,Middle Temporal Gyrus,PhG_L_6_2,"A35/36c, caudal area 35/36",PhG_L_6_2
112,Middle Temporal Gyrus,PhG_R_6_2,"A35/36c, caudal area 35/36",PhG_R_6_2
