xstdcoef_m1_age_gmv,xstdcoef_m2_math_gmv,xloading_m1_age_gmv,xloading_m2_math_gmv
-0.036650764,-0.035749932,-0.570273935,-0.502572815
-0.00602527,-0.034756077,-0.477126821,-0.527326288
0.05265558,-0.050816851,-0.27844922,-0.504353117
0.049359819,-0.061645086,-0.282564069,-0.551694984
0.05945354,-0.220636142,-0.312270566,-0.67782234
0.040361354,-0.101799062,-0.281627207,-0.587291269
-0.038972695,-0.032698737,-0.542540596,-0.404584248
-0.079136242,0.016273935,-0.569007191,-0.266341082
-0.026738527,-0.001347505,-0.490014864,-0.350481177
-0.044346156,-0.019187886,-0.535455407,-0.401585475
-0.016071601,0.040660985,-0.415713938,-0.194039247
-0.021092883,0.051142986,-0.465555703,-0.196991501
-0.024044912,-0.157674509,-0.528743487,-0.597842028
-0.070366753,-0.171533963,-0.590622226,-0.585766426
-0.013634651,-0.058448908,-0.485048398,-0.436864294
-0.029521708,-0.062710528,-0.534670202,-0.469014588
-0.055106909,0.042973583,-0.520443217,-0.270859402
-0.063767026,0.051398224,-0.5068165,-0.253671243
-0.05593317,-0.040520933,-0.59648351,-0.42698908
-0.121813313,-0.078290238,-0.655862038,-0.443122737
-0.008033052,0.067462057,-0.363556812,-0.175630492
-0.051993894,0.110139317,-0.457863929,-0.137046727
-0.096589096,-0.024621918,-0.530955633,-0.328940954
-0.128096696,-0.050834789,-0.591360019,-0.360353076
-0.019000691,0.078224428,-0.489483136,-0.174316607
-0.066135104,0.117486906,-0.550261582,-0.118121959
-0.035433467,0.068275216,-0.56985199,-0.20658102
-0.086006211,0.069503898,-0.616700892,-0.260905075
-0.004070053,-0.008055327,-0.487503792,-0.431980796
-0.006056677,-0.009539286,-0.412352838,-0.370995014
-0.001483454,-0.003803698,-0.476395282,-0.415182589
0.002693469,-0.006055629,-0.25654866,-0.373533443
0.009177756,-0.044031263,-0.381345187,-0.443756681
-0.009189978,-0.009751681,-0.375067988,-0.320282281
0.059441922,-0.089207212,-0.248834115,-0.542157051
0.042917356,-0.08884846,-0.276827378,-0.508715958
