"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"PCL_L_2_1",-0.0482101196364474,-0.0425027443525723,0.0228233520873624,0.00142343503915394,0.00417893861290113,-0.467329884567039,-0.696344983112773,-0.00404622978910544,0.135545796398592,0.0208722156305164
"PCL_R_2_1",-0.0335202881672906,-0.0707821099252945,0.0284572351365607,-0.00248356591594237,0.00840858832022843,-0.399946938148789,-0.768543519699903,-0.00776670924377577,0.110160902558471,0.0418251893764335
"PCL_L_2_2",-0.0897665860701553,-0.0671011127973011,0.0285295995557444,-0.0364272839034394,0.0305699620575571,-0.501698584167183,-0.678239619026962,-0.0202161375057895,0.0625813106573706,0.0570681249896663
"PCL_R_2_2",-0.100391982351829,-0.0912498783756324,0.047563234142045,-0.0415235583733092,0.0510925499096041,-0.485278948846194,-0.695967540122219,-0.00595281483417306,0.06846819972399,0.0876519912050539
"STG_L_6_1",0.000885411186275713,-0.0532808079509993,-0.094073900400376,0.00237753172601074,-0.0738171625296524,-0.377196273064672,-0.473657730002476,-0.208449182273296,0.184153268497514,-0.0844515856203548
"STG_R_6_1",-0.0166524314049274,-0.0678411583941285,-0.116713593837546,0.00341371076758838,-0.0618678229698578,-0.402632017305182,-0.502602392405297,-0.22927736223351,0.189460253891629,-0.0605821296786942
"STG_L_6_2",0.0346955707452806,-0.060097457823747,0.0279440390283042,0.0341262851102408,-0.0438773583963588,-0.235250473213272,-0.679204845685292,-0.0419182424782418,0.26315630650278,-0.0324038871518838
"STG_R_6_2",0.0458873245977412,-0.0516529730419327,0.0426932068160025,0.0309935903914633,-0.0391336680577069,-0.181292139003748,-0.707702737880965,0.00698298218277063,0.264902079892972,-0.0463716789327883
"STG_L_6_3",0.0936953484567382,-0.116356855312099,0.0466823914492915,0.0722735024946827,-0.0526037123815565,-0.195811446237146,-0.737063312970289,-0.0345333177263111,0.236501587812202,-0.068715076285432
"STG_R_6_3",0.0811823655001125,-0.114094558958592,0.0747889757807889,0.059465778541101,-0.059326911412989,-0.235127529960865,-0.732229288661699,0.00296906209554561,0.218603400277994,-0.079768371259982
"STG_L_6_4",-0.0253271400570588,-0.02623582082465,0.01022918316812,0.0269894755075801,-0.0251709535265477,-0.393692749342985,-0.614559046902287,-0.0930849872031013,0.250128811029367,0.00173013711786156
"STG_R_6_4",-0.00223660201721212,-0.0467726712824469,0.0505209417057149,0.0159518217299434,-0.0604005790569972,-0.350932407213606,-0.660464111422187,-0.0066926435349306,0.209246160917338,-0.0679714466556599
"STG_L_6_5",-0.0257052960297079,-0.0414532648911758,-0.0129042249557309,0.00502002633085079,-0.0505857502653292,-0.423824625535157,-0.524998817104072,-0.117091042443083,0.16479964991056,-0.103210722956208
"STG_R_6_5",-0.0458639629712397,-0.069990030240824,-0.00702081706271378,-0.00736873265534685,-0.0688590981081009,-0.44872448547686,-0.561887846222901,-0.102437163998112,0.138358061415426,-0.109093039302866
