"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"PCL_R_2_1",0.00948152551160779,-0.00426175311155843,-0.0158476442008317,0.0199213106131152,0.0180297285052122,-0.35775694430159,-0.399503278648162,-0.153890406865102,0.0551018730033134,-0.0427858985884406
"PCL_L_2_2",-0.0129089161907066,0.00863642410743915,0.0310471103898524,0.0292142567149353,0.0324597817174888,-0.46396605689226,-0.356453021173834,-0.021862698159355,0.0131490711661637,-0.0203094254456031
"PCL_R_2_2",-0.0298025803910682,0.0182743920082047,0.0394539090515367,0.0505466049495634,0.0185837948169828,-0.490453975549672,-0.330411171020794,-0.0212596456119408,0.0280802045734911,-0.0625385185774396
"STG_L_6_1",-0.144717920983434,0.011862544394617,0.0206540295547924,0.00598669710124255,-0.0245795340262686,-0.744084293860968,-0.316081574601327,-0.00943441775726562,-0.11071572204427,-0.0564750229217808
"STG_R_6_1",-0.149290278316607,0.0076013049459628,0.0196503197314933,0.0111227529136663,-0.0419437691068784,-0.780394777395856,-0.332138406320539,0.000588150952206488,-0.0982833171329734,-0.0871793212934354
"STG_L_6_2",-0.00168262545109895,-0.0380804315770148,-0.0580165837205159,-0.0010322858789072,-0.00777306087485486,-0.449843564119334,-0.503525537647463,-0.214409417475224,-0.033764486316541,-0.0233393147027457
"STG_R_6_2",0.00431863771516883,-0.0367462659798773,-0.0851826056484835,0.0221402025900447,-0.0146370700637093,-0.376299662720467,-0.515674871518137,-0.358369217617797,0.0533907401074042,-0.0676256306144461
"STG_L_6_3",-0.0300149957309393,-0.0868904099430361,-0.0774556109444417,0.0983412976124975,-0.0513585977787737,-0.529854562440059,-0.560599396206454,-0.203720306219694,0.0609662812125568,-0.100852050565682
"STG_R_6_3",-0.0633582770398375,-0.0271047427109699,-0.0959770904892749,0.0770531115357136,-0.082695772956706,-0.610826479340849,-0.452620451675667,-0.230792233356253,0.0305599301960955,-0.161907270677151
"STG_L_6_4",0.0146848024572901,-0.0463868059015009,-0.00883233506103522,-0.0280779259133406,0.0118063925036626,-0.464347697306755,-0.52617827131105,-0.0677620558566223,-0.112904332471347,0.0168196523053818
"STG_R_6_4",0.00150325181501749,-0.0111168111492109,-0.0975455554921646,-0.0160997418980923,0.00436418525139263,-0.402769465545662,-0.35945477464773,-0.276026632447808,-0.0485667521981258,-0.0479477729158144
"STG_L_6_5",-0.0922775548932853,-0.0109704609876642,0.00358079521741234,0.0498747141272896,-0.0473117023596059,-0.723181664147376,-0.386294501825573,-0.0483957858242096,-0.0347849557359607,-0.117698826913325
"STG_R_6_5",-0.110281244051489,0.0038987168532816,-0.0244631028149687,0.0351913292512578,-0.0670977767950386,-0.745627239214297,-0.370779183530754,-0.0930437384840302,-0.0529593308844559,-0.144250882220541
"STG_L_6_6",-0.0639238176102598,-0.00973300085411739,0.00222829313389383,0.0448124776932643,-0.0253348083575325,-0.662256975133823,-0.418180850710241,-0.058252296799242,-0.0305447331919804,-0.0776206524699307
"STG_R_6_6",-0.0107789806233,-0.00287705754841336,-0.0245491668618399,0.0112279520285001,-0.00999073163390213,-0.547671435649735,-0.416596385660959,-0.159548973751327,-0.0104142235275993,-0.0585542950823642
"MTG_L_4_1",-0.0285419495934204,-0.00264841180781877,0.0159914900035568,-0.0148824502873879,0.00907780191313506,-0.63700562195304,-0.417235553857099,-0.00170881609705522,-0.12262913585278,-0.0230944457691021
"MTG_R_4_1",-0.0150280413571955,-0.00995494891517536,-0.0169094931143222,-0.0305788364745945,-0.00904616090832725,-0.571779517905714,-0.435441138241887,-0.0811934146111479,-0.115062937131667,-0.0637441656297666
"MTG_L_4_2",-0.123622675182207,0.0339987350520493,0.0408904613833039,0.0246824493959264,-0.0181650697193016,-0.779152436547821,-0.324689603915123,0.026144528558788,-0.0893539803110323,-0.0592036958460151
"MTG_R_4_2",-0.171958032029507,0.0719637411204412,0.00432657239408328,0.0267360063390697,-0.0357401769415019,-0.805064023405919,-0.276926932129766,-0.0356868195844367,-0.0845599666264369,-0.0746522854180926
"MTG_L_4_3",-0.00300947408376025,-0.0277198149072963,0.0514090524659503,-0.0519895343001575,0.0491368159681695,-0.549632782232605,-0.459032943479303,0.0394321024527284,-0.180045144079975,0.0673217686348898
"MTG_R_4_3",-0.03709628701237,-0.0384935503671329,0.00686917970433458,-0.0959721122142102,0.0479489279017195,-0.608345863059948,-0.480912611910658,-0.0271830337008096,-0.220667301369003,0.0332865846978144
"MTG_L_4_4",-0.0660724210300009,-0.00381150199804525,0.0306970793128314,0.0222119070479055,0.0254172016112013,-0.659446628581513,-0.413752664049156,0.00036987026455438,-0.0652355450184543,0.0115377374490617
"MTG_R_4_4",-0.0963800059169131,-0.0152090747715118,-0.0393720138928263,0.0599294400269267,-0.0448574370306466,-0.646729174796849,-0.440110458528827,-0.0836048674583242,-0.0289307058316339,-0.0633935666381498
"ITG_L_7_1",-0.00403294698420598,-0.00386714851746764,0.000893420512844576,-0.00316113340048343,0.00117023689645525,-0.515915593170434,-0.392019648664479,-0.0621115778097681,-0.0719685649546487,-0.0586979381994059
"ITG_R_7_1",-0.0100279029542503,0.0091772505863777,-0.0075948309161385,-0.00291926218213592,-0.00188045430003286,-0.600003429156551,-0.227504595095535,-0.138041509160336,-0.0933251256286522,-0.0867646980534635
"ITG_L_7_2",-0.0211203186491197,-0.00591536266933501,0.00512262251137234,-0.03216515345832,0.0129895105054201,-0.618974768843527,-0.384094180587682,-0.0480444858856481,-0.2233708913437,-0.0137485037510031
"ITG_R_7_2",-0.0281860575857303,-0.0165159289912007,-0.00353906636459765,-0.0229664607258021,-0.0127925536534877,-0.66475708651412,-0.438070852979371,-0.0525256958233858,-0.22939108407841,-0.114971941265968
"ITG_L_7_3",-0.0954834078157781,0.0286249549793914,0.0102251332632412,-0.0188793344861651,-0.0167919578116052,-0.793251080623197,-0.288787601633775,-0.00100535522337574,-0.165578154850212,-0.0718656082325558
"ITG_R_7_3",-0.0807709055582254,0.0291827692180467,-0.0149329479840541,-0.00335590879956453,-0.0204365130182275,-0.775390025697493,-0.233873043401466,-0.0721252836832431,-0.11645679238062,-0.0831009417626592
"ITG_L_7_4",-0.0260337428920519,0.0171979174559254,0.0252144379565649,-0.013243141832459,-0.0136388911138175,-0.61883990262166,-0.306561012648706,0.0448758648334443,-0.133780928534948,-0.0864156778832428
"ITG_R_7_4",-0.0307562373533881,0.041213364383507,-0.0190502909471413,-0.0228908944735651,-0.010118309845574,-0.60684418799324,-0.197568314982811,-0.105101122189396,-0.130324486941035,-0.0946384570030593
"ITG_L_7_5",-0.0305072716714231,-0.0187335762437957,0.0114838434446001,-0.0406075596697331,0.0127145882694385,-0.634786566851818,-0.438533146824217,-0.0358667463108549,-0.198234139162269,-0.0175854556799224
"ITG_R_7_5",-0.0402611329672086,-0.0265115229683826,-0.00569485875965828,-0.0319365800534927,-0.00298969778141401,-0.665155598236622,-0.465018797708989,-0.0642617394489008,-0.211035815742532,-0.0591419010092765
"ITG_L_7_6",-0.0287562599280615,0.00222318863566143,0.00992927637313749,-0.0245468023449497,0.0255123506888873,-0.606456760924689,-0.374391819871003,-0.029915542061791,-0.129817558287325,0.0103388989462987
"ITG_R_7_6",-0.0219417409948199,-0.0137667410612832,-0.0169314298933401,-0.0199055246805968,-0.0104464501954587,-0.594638554201834,-0.426440591249351,-0.0958136760955046,-0.134702776231187,-0.0841521758291823
"ITG_L_7_7",-0.0197075033649058,0.00395680917611282,0.0430260703869584,0.00325750063452914,-0.00671352857557773,-0.545716983292749,-0.349916659950154,0.0500472095976814,-0.0527960956933237,-0.0604083269262001
"ITG_R_7_7",-0.015042123190884,-0.0120863574867002,-0.00647177490801774,0.0059671221837216,-0.0259489488531637,-0.503753937475503,-0.388460484630952,-0.0632350944435406,-0.0218379008479417,-0.111165147190728
"FuG_L_3_1",-0.0797876911968159,-0.0185148102864234,0.0192215734925698,0.0201371548838198,-0.0262715260609915,-0.673652440202727,-0.422485752500387,-0.0344540594535548,-0.0662135272492312,-0.0774702302654117
"FuG_R_3_1",-0.0751106734715283,-0.00493977953387629,-0.0325004036804445,0.05163236915323,-0.0295488566468712,-0.622794548029266,-0.376956080873081,-0.108935516662203,-0.00152553150816492,-0.0882911811967003
"FuG_L_3_2",-0.0532021514647541,-0.184562922032646,-0.0319153367555201,0.00676276527809475,0.0253826105616753,-0.583019865010063,-0.595859934376861,-0.128102028747907,-0.109035244303119,-0.0639565992828226
"FuG_R_3_2",-0.0543014408484098,-0.208201989988962,0.0573394830675082,-0.023694020022641,-0.0635262386747153,-0.586007852699888,-0.638909806974433,-0.0212608792251068,-0.15025899584332,-0.153348959325392
"FuG_L_3_3",0.0217268018305907,-0.135938180352573,0.00891489836419884,-0.0416135699336931,0.0787557629619883,-0.493429966651518,-0.532173366162539,-0.085884130113358,-0.132539368716656,0.00356607944940986
